Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,,2164,Urbanistas e ingenieros de tránsito,108
,,,2165,Cartógrafos y agrimensores,109
,,,2166,Diseñadores gráficos y multimedia,110
,22,,,Profesionales de la salud,111
,,221,,Médicos,112
,,,2211,Médicos generales ,113
,,,2212,Médicos especialistas ,114
,,222,,Profesionales de enfermería y partería,115
,,,2221,Profesionales de enfermería,116
,,,2222,Profesionales de partería,117
,,223,,Profesionales de medicina tradicional y alternativa,118
,,,2230,Profesionales de medicina tradicional y alternativa,119
,,224,,Veterinarios,120
,,,2240,Veterinarios,121
,,225,,Otros profesionales de la salud,122
,,,2251,Dentistas,123
,,,2252,Farmacéuticos,124
,,,2253,Profesionales de la salud y la higiene laboral y ambiental,125
,,,2254,Fisioterapeutas ,126
,,,2255,Dietistas y nutricionistas,127
,,,2256,Audiólogos y logopedas,128
,,,2257,Optometristas,129
,,,2259,Otros profesionales de la salud,130
,23,,,Profesionales de la enseñanza,131
,,231,,Profesores de universidades y de la enseñanza superior,132
,,,2311,Profesores de universidades,133
,,,2312,Profesores de educación técnico productivos,133
,,232,,Profesores de formación profesional,134
,,,2320,Profesores de formación profesional,135
,,233,,Profesores de enseñanza secundaria,136
,,,2330,Profesores de enseñanza secundaria,137
,,234,,Profesores de enseñanza primaria y maestros de inicial,138
,,,2341,Profesores de enseñanza primaria,139
,,,2342,Profesores de enseñanza inicial,140
,,235,,Otros profesionales de la enseñanza,141
,,,2351,Especialistas en métodos pedagógicos,142
,,,2352,Educadores para necesidades especiales,143
,,,2353,Instructores en tecnología de la información,144
,,,2359,Otros profesores de la enseñanza,145
,24,,,Especialistas en organización de la administración pública y de empresas,146
,,241,,Especialistas en finanzas,147
,,,2411,Contadores,148
,,,2412,Analistas y asesores financieros y de inversiones,149
,,242,,Especialistas en organización y administración,150
,,,2421,Analistas de gestión y organización,151
,,,2422,Especialistas en políticas de administración,152
,,,2423,Especialistas en políticas y servicios de personal y afines,153
,,,2424,Especialistas en formación del personal,154
,,243,,"Profesionales de ventas, comercialización y relaciones públicas",155
,,,2431,Profesionales de la publicidad y la comercialización,156
,,,2432,Profesionales de relaciones públicas,157
,,,2433,Profesionales en hotelería y turismo y gastronomía,158
,25,,,Profesionales de tecnología de la información y las comunicaciones,159
,,251,,Analistas y desarrolladores de sistemas de información,160
,,,2511,Analistas de sistemas,161
,,,2512,Especialistas programadores,162
,,,2513,Especialistas de desarrollo de los sistemas de información,163
,,,2514,Administradores de base de datos,164
,,,2515,Administradores de red,165
,,,2519,Otros analistas y desarrolladores de sistemas de información,166
,,252,,Especialistas en soporte técnico de sistemas informáticos,167
,,,2521,Especialistas en soporte de sistemas informáticos ,168
,,,2529,Otros especialistas en soporte técnico de sistemas informáticos,169
,26,,,"Profesionales en derecho, en ciencias sociales y culturales",170
,,261,,Profesionales en derecho,171
,,,2611,Abogados,172
,,,2619,Otros profesionales en derecho,173
,,262,,"Archivistas, bibliotecarios, curadores y afines ",174
,,,2621,Archivistas y curadores de museos,175
,,,2622,"Bibliotecarios, documentalistas y afines",176
,,263,,Especialistas en ciencias sociales y teología,177
,,,2631,Economistas,178
,,,2632,"Sociólogos, antropólogos y afines",179
,,,2633,"Filósofos, historiadores y especialistas en ciencias políticas",180
,,,2634,Psicólogos,181
,,,2635,Profesionales del trabajo social ,182
,,,2636,Profesionales religiosos,183
,,264,,"Autores, periodistas y lingüistas",184
,,,2641,Autores y otros escritores,185
,,,2642,Periodistas,186
,,,2643,"Traductores, intérpretes y lingüistas",187
,,265,,Artistas creativos e interpretativos,188
,,,2651,Artistas de artes plásticas,189
,,,2652,"Músicos, cantantes y compositores",190
,,,2653,Bailarines y coreógrafos,191
,,,2654,"Directores de cine, de teatro y afines",192
,,,2655,Actores,193
,,,2656,"Locutores de radio, televisión y otros medios de comunicación",194
3,,,,Profesionales técnicos,195
,31,,,Profesionales técnicos de las ciencias y la ingeniería,196
,,311,,Técnicos en ciencias físicas y en ingeniería,197
,,,3111,Técnicos en ciencias físicas y químicas,198
,,,3112,Técnicos en ingeniería civil,199
,,,3113,Técnicos en electricidad ,200
