Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,,7516,Catadores y clasificadores de alimentos y bebidas,515
,,,7517,Preparadores y elaboradores de tabaco y sus derivados,516
,,,7518,Trabajadores de la preparación de bebidas alcohólicas y refrescos,517
,,,7519,"Otros trabajadores de la preparación de alimentos, bebidas y productos de tabaco",518
8,,,,"Operadores de maquinaria industrial, ensambladores y conductores de transporte",519
,81,,,Operadores de instalaciones fijas y maquinaria industrial,520
,,811,,"Operadores de instalaciones mineras, de extracción y procesamiento de minerales",521
,,,8111,Mineros y operadores de instalaciones mineras,522
,,,8112,Operadores de instalaciones de procesamiento de minerales y rocas,523
,,,8113,"Perforadores y sondistas de pozos de petróleo y gas, bombeo y distribución de agua",524
,,,8114,Operadores de máquinas para fabricar cemento y otros productos minerales,525
,,812,,Operadores de instalaciones de procesamiento y fabricación metalúrgica ,526
,,,8121,Operadores de instalaciones de procesamiento de metales,527
,,,8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",528
,,813,,"Operadores de instalaciones y máquinas de productos químicos, fotográficos, tratamiento de agua y petroquímica",529
,,,8131,Operadores de plantas y máquinas de productos químicos,530
,,,8132,Operadores de máquinas para fabricar productos fotográficos,531
,,,8133,Operadores de máquinas para el tratamiento de agua,532
,,,8134,Operadores de máquinas para la perforación de pozos y refinación del petróleo y gas ,533
,,814,,"Operadores de máquinas para fabricar productos de caucho, material de plástico ",534
,,,8141,Operadores de máquinas para fabricar productos de caucho,535
,,,8142,Operadores de máquinas para fabricar productos de material plástico,536
,,815,,Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero,537
,,,8151,"Operadores de máquinas de preparación de fibras, hilado y devanado",538
,,,8152,Operadores de telares y otras máquinas tejedoras,539
,,,8153,Operadores de máquinas de coser (industrial),540
,,,8154,"Operadores de máquinas de lavado, blanqueamiento, teñido, estampado y acabado de productos textiles",541
,,,8155,Operadores de máquinas de tratamiento de pieles y cueros,542
,,,8156,Operadores de máquinas para la fabricación de calzado y afines,543
,,,8159,Otros operadores de máquinas para fabricar productos textiles y artículos de piel y cuero,544
,,816,,"Operadores de máquinas para elaborar alimentos, bebidas y productos afines",545
,,,8160,"Operadores de máquinas para elaborar alimentos, bebidas y productos afines",546
,,817,,Operadores de máquinas para la preparación de papel y de procesamiento de la madera,547
,,,8171,Operadores de máquinas de procesamiento de la madera ,548
,,,8172,"Operadores de máquinas para la preparación de pasta para papel, papel y similares ",549
,,,8173,Operadores de máquinas para fabricar productos de papel,550
,,818,,"Otros operadores de máquinas en la elaboración de productos de cerámica, vidrio, embalaje y etiquetado",551
,,,8181,Operadores de instalaciones de vidriería y cerámica,552
,,,8182,Operadores de máquinas de vapor y calderas,553
,,,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado",554
,,,8189,Otros operadores de máquinas y de instalaciones fijas,555
,82,,,Ensambladores,556
,,821,,Ensambladores,557
,,,8211,Ensambladores de máquinas de motor,558
,,,8212,Ensambladores de equipos eléctricos y electrónicos,559
,,,8219,Otros ensambladores,560
,83,,,Conductores de vehículos y operadores de maquinaria móvil pesada,561
,,831,,Maquinistas de locomotoras y afines,562
,,,8311,Maquinistas de locomotoras,563
,,,8312,"Guardafrenos, guardagujas y agentes de maniobras",564
,,832,,"Conductores de automóviles, camionetas y motocicletas",565
,,,8321,Conductores de motocicletas,566
,,,8322,"Conductores de automóviles, taxis y camionetas",567
,,833,,Conductores de camiones pesados y autobuses,568
,,,8331,Conductores de autobuses y tranvías,569
,,,8332,Conductores de camiones pesados,570
,,834,,Operadores de equipos pesados móviles,571
,,,8341,Operadores de maquinaria agrícola y forestal móvil,572
,,,8342,Operadores de máquinas de movimiento de tierras y afines,573
,,,8343,"Operadores de grúas, aparatos elevadores y afines",574
,,835,,Conductores de transporte marítimo,575
,,,8351,Marineros de cubierta y afines,576
,,,8352,Conductores de pequeñas embarcaciones,577
9,,,,Ocupaciones elementales,578
,91,,,Limpiadores y asistentes domésticos,579
,,911,,Limpiadores y asistentes domésticos de hoteles y oficinas,580
,,,9111,Limpiadores y asistentes domésticos,581
,,,9112,"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos",582
,,912,,"Limpiadores de vehículos, ventanas, ropa y otra limpieza a mano",583
,,,9121,Lavanderos y planchadores manuales,584
,,,9122,Lavadores de vehículos,585
,,,9123,Limpiadores de ventanas,586
,,,9124,Limpiadores ambulantes de calzado ,587
,,,9129,Otro personal de limpieza,588
,92,,,"Peones agropecuarios, pesqueros y forestales",589
,,921,,"Peones agropecuarios, pesqueros y forestales",590
,,,9211,Peones de explotaciones agrícolas y ganaderas,591
,,,9212,Peones de jardinería y horticultura,592
,,,9213,Peones de pesca y acuicultura,593
,,,9214,Peones forestales,594
,93,,,"Peones de la minería, la construcción, la industria manufacturera y el transporte",595
,,931,,Peones de la minería y la construcción,596
,,,9311,Peones de minas y canteras,597
,,,9312,Peones de obras públicas y mantenimiento,598
,,,9313,Peones de la construcción de edificios,599
,,932,,Peones de la industria manufacturera,600
,,,9321,Peones manuales de la industria manufacturera,601
,,,9329,Otros peones de la industria manufacturera,602
,,933,,Peones del transporte y carga,603
,,,9331,Conductores de vehículos accionados a pedal o a mano,604
,,,9332,Conductores de vehículos y máquinas de tracción animal,605
,,,9333,Peones de carga,606
,,,9334,Cobradores de los transportes públicos,607
,94,,,Cocineros y ayudantes de preparación de alimentos,608
,,941,,Cocineros y ayudantes de preparación de alimentos,609
,,,9411,Cocineros de comidas preparadas en la calle,610
,,,9412,Ayudantes de cocina,611
,95,,,Vendedores ambulantes ,612
,,951,,Vendedores ambulantes de productos comestibles,613
,,,9511,Vendedor ambulante de productos alimenticios manufacturados,614
,,,9512,Vendedor ambulante de bebidas,615
,,952,,"Vendedores ambulantes de productos agropecuarios, pesca y caza",616
,,,9521,Vendedor ambulante de productos agrícolas comestibles ,617
,,,9522,Vendedor ambulante de productos agrícolas no utilizados en la alimentación humana,618
,,,9523,Vendedor ambulante de productos de la pesca y caza,619
,,,9524,Vendedor ambulante de animales vivos y productos pecuarios,620
,,953,,Vendedores ambulantes de productos manufacturados no comestibles,621
,,,9531,Vendedor ambulante de productos farmacéuticos y plantas medicinales ,622
,,,9532,Vendedor ambulante de tabaco y artículos conexos,623
,,,9533,Vendedor ambulante de productos de tocador e higiene del hogar,624
,,,9534,Vendedor ambulante de combustibles y lubricantes,625
,,,9535,"Vendedor ambulante de telas, tejidos y confecciones de tela y/o cuero",626
,,,9536,"Vendedor ambulante de diarios, revistas, libros y útiles de escritorios",627
,,,9537,Vendedor ambulante de artículos deportivos y juguetes,628
,,954,,Vendedores ambulantes de artículos para el hogar,629
,,,9541,Vendedor ambulante de aparatos o artículos para el hogar,630
,,,9542,Vendedor ambulante de artículos artísticos y de lujo,631
,,,9549,Otros vendedores ambulantes de aparatos o artículos para el hogar,632
,96,,,Recolectores de desechos y otras ocupaciones elementales,633
,,961,,Recolectores de desecho,634
,,,9611,Recolectores de basura y material reciclable,635
,,,9612,Clasificadores de desechos,636
,,,9613,Barrenderos y afines,637
,,962,,Otras ocupaciones elementales,638
,,,9621,"Mensajeros, mandaderos, maleteros y repartidores de mercadería",639
,,,9622,"Porteros, guardianes y afines",640
,,,9623,Recolectores de dinero en aparatos de venta automática y lectores de medidores,641
,,,9624,Acarreadores de agua y recolectores de leña,642
,,,9629,Otras ocupaciones elementales,643
0,,,,Ocupaciones militares y policiales,644
,01,,,Oficiales de las Fuerzas Armadas y Fuerzas Policiales,645
,,011,,Oficiales de las Fuerzas Armadas,646
,,,0111,Oficiales del Ejército,647
,,,0112,Oficiales de la Marina de Guerra,648
,,,0113,Oficiales de la Fuerza Aérea,649
,,012,,Oficiales de las Fuerzas Policiales,650
,,,0120,Oficiales de las Fuerzas Policiales,651
,02,,,Suboficiales de las Fuerzas Armadas y Fuerzas Policiales,652
,,021,,Suboficiales de las Fuerzas Armadas,653
,,,0211,Suboficiales del Ejército,654
,,,0212,Suboficiales de la Marina de Guerra,655
,,,0213,Suboficiales de la Fuerza Aérea,656
,,022,,Suboficiales de la Policia Nacional,657
,,,0220,Suboficiales de la Policia Nacional,658
,03,,,Otros miembros de las Fuerzas Armadas y Fuerzas Policiales,
,,031,,Técnicos de las fuerzas Armadas,
,,,0311,Técnicos del Ejército,
,,,0312,Técnicos de la Marina de Guerra,
,,,0313,Técnicos de la Fuerza Aérea,
,,032,,Técnicos de las Fuerzas Policiales,
,,,0320,Técnicos de las Fuerzas Policiales,
